,Location,Latitude,Longitude,Country,ESTNUM
741,Tokoyo,35.689488,139.691706,Japan,2
742,Dar es Salaam,-6.792354,39.208328,Tanzania,6000
743,Manila,14.599512,120.98422,Philippines,58
744,"Menglian, Yunnan",22.329099,99.584157,China,2
745,Douala,4.051056,9.767869,Cameroon,5400
746,Koh Kong province,11.332275,103.013792,Cambodia,4
747,Maharashtra,19.75148,75.713888,India,1
748,Kathmandu,27.717245,85.323959,Nepal,
749,Various,1.30592,103.822316,Various,2750
750,Yongjia,28.153607,120.692025,China,2
751,"Dongxing, Guangxi",21.547821,107.971826,China,6
752,Yiwu Airport,29.340515,120.033179,China,1
753,Liuzhou,24.326292,109.428608,China,2
754,"Nanning, Guangxi",22.817002,108.366543,China,2
755,Bengkalis,1.413919,101.615777,Indonesia,89
756,Madhya Pradesh / Uttar Pradesh,22.973423,78.656894,India,
757,Suvarnabhumi Airport,13.689999,100.750112,Thailand,1066
758,Beijing,39.904202,116.407394,China,
759,"Lipu, Guangxi",24.488342,110.395104,China,2
760,Beijing,39.904202,116.407394,China,1500
761,Bandaranaike International Airport,7.180155,79.884252,Sri Lanka,11
762,Zhejiang,29.141643,119.788925,China,9
763,Ranchi,23.3441,85.309562,India,1
764,Malaysia,5.957123,116.088279,Malaysia,
765,Noi Bai,21.218715,105.804171,Vietnam,357
766,Fuoshan,23.021478,113.121435,China,1
767,"Entumbane, Bulawayo",-20.123027,28.54186,Zimbabwe,1
768,Bacolod on Negros Island,10.684005,122.956302,Philippines,15
769,Shenzhen,22.543096,114.057865,China,24
770,Qujiang,34.21826,108.964144,China,5
771,Fuzhou Airport,25.908454,119.643113,China,10
772,Zhongshan Passenger Port,22.569262,113.478738,China,1
773,Birchenough,-19.965656,32.33626,Zimbabwe,5
774,"Shangnan County, Shaanxi",33.530995,110.881807,China,1
775,Noi Bai International Airport,21.218715,105.804171,Vietnam,
776,Hoa Binh,20.686127,105.313118,Vietnam,118
777,"Liancheng, Fujian",25.710538,116.754472,China,
778,Messamena,3.74104,12.82375,Cameroon,100
779,Palawan,9.834949,118.738362,Philippines,10
780,Sabah,5.97884,116.07532,Malaysia,10
781,Abim,2.71174,33.66015,Uganda,15
782,Kuala Lumpur Airport,2.745596,101.70716,Malaysia,140
783,Tan Son Nhat airport,10.818463,106.658825,Vietnam,200
784,New Delhi,28.613939,77.209021,India,
785,"Haikou, Hainan",20.044412,110.198286,China,1
786,Harare,-17.825167,31.03351,Zimbabwe,
787,Khanh Hoa province,12.25851,109.052608,Vietnam,31
788,Tzaneen,-23.831985,30.135835,South Africa,5
789,Taman Desa Seraya,6.076375,100.362652,Malaysia,141
790,Kathmandu,27.717245,85.323959,Nepal,
791,Alor Setar,6.12107,100.369797,Malaysia,140
792,Kathmandu,27.717245,85.323959,Nepal,44
793,Limpopo Province,-23.401295,29.417932,South Africa,1
794,"Alldays, Limpopo",-22.68111,29.10982,South Africa,1
795,Lianghe County,24.804232,98.296657,China,1
796,Hong Kong,22.319201,114.169612,China - Hong Kong,7200
797,Ji'an,27.087637,114.964696,China,2
798,Nanning,22.817002,108.366543,China,42
799,Kathmandu,27.717245,85.323959,Nepal,930
800,Kathmandu,27.717245,85.323959,Nepal,1
801,Kuala Lumpur International Airport,2.745596,101.70716,Malaysia,228
802,Guangzhou Baiyun Airport,23.395908,113.30797,China,1
803,Kuala Lumpur International Airport,2.745596,101.70716,Malaysia,400
804,"Belawan Port, Medan, Sumatra",3.781584,98.691818,Indonesia,225
805,Guangzhou Baiyun Airport,23.395908,113.30797,China,2
806,Beijing,39.904202,116.407394,China,
807,Shenzhen,22.543096,114.057865,China,11900
808,Harare,-17.825167,31.03351,Zimbabwe,1
809,Hai Phong,20.844911,106.688084,Vietnam,600
810,Aceh,5.55356,95.31768,Indonesia,29
811,Shenzhen,22.543096,114.057865,China,2
812,Nairobi,-1.292066,36.821946,Kenya,96
813,Lebamba,-24.350971,30.955638,South Africa,1
814,Abidjan,5.359952,-4.008256,Côte d’Ivoire,3000
815,"Sepanggar Port, Sabah",6.06649,116.12494,Malaysia,16000
816,Kuala Lumpur International Airport,2.745596,101.70716,Malaysia,301
817,Guangxi,23.72476,108.807619,China,34
818,Kanchanadit,9.1097,99.500614,Thailand,88
819,Prachuab Khiri Khan,11.819389,99.781851,Thailand,1486
820,Mong Cai,21.525944,107.972367,Vietnam,11
821,Harare,-17.825167,31.03351,Zimbabwe,1
822,Dumai,1.666635,101.400186,Indonesia,133
823,"Hosba, Kubang Pasu district",6.370544,100.445276,Malaysia,127
824,Mekalat,2.926296,11.156073,Cameroon,70
825,Shenzhen,22.543096,114.057865,China,1
826,Ninh Binh,20.250615,105.974454,Vietnam,32
827,Gaborone,-24.628208,25.923147,Botswana,2
828,Medan,3.600425,98.682064,Indonesia,101
829,Windhoek,-22.560881,17.065755,Namibia,1
830,Dhading,27.971136,84.898478,Nepal,2
831,Anjung Selera,6.009369,116.110846,Malaysia,1
832,Binh Phuoc,11.751189,106.723464,Vietnam,12
833,Pelalawan,0.146092,102.254792,Indonesia,60
834,Hillside Dam,-20.194605,28.613628,Zimbabwe,1
835,Lulekani ,-23.85852,31.07692,South Africa,2
836,Tzaneen Life Style Shopping Centre,-23.822474,30.156897,South Africa,1
837,Donggongon,5.920984,116.089657,Malaysia,1
838,"Balaghat, Madhya Pradesh",21.812876,80.183829,India,1
839,Huanggang Port,22.520087,114.075065,China,200
840,Suvarnabhumi Airport,13.689999,100.750112,Thailand,15
841,Nsanje,-16.72882,35.170874,Malawi,1
842,Nsanje,-16.72882,35.170874,Malawi,1
843,Douala,4.051056,9.767869,Cameroon,1050
844,Semporna,4.479391,118.611545,Malaysia,
845,Kalpitiya,8.229528,79.759614,Sri Lanka,130
846,Kuruman,-27.463374,23.433995,South Africa,1
847,Sangmelima,2.937215,11.986169,Cameroon,10
848,Changlun,6.43183 ,100.429997,Malaysia,140
849,Kuala Lumpur International Airport,2.734747,101.705109,Malaysia,337
850,Hung Yen,20.852571,106.016997,Vietnam,113
851,Chaiyaphum,15.806817,102.031503,Thailand,105
852,Douala,4.051056,9.767869,Cameroon,128
853,Kawardha forest,22.010163,81.226323,India,
854,Tai Po,22.446916,114.176531,China - Hong Kong,313
855,Bac Giang,21.301495,106.62913,Vietnam,200
856,Chek,12.565679,104.990963,Cambodia,7
857,Libassa Wildlife Sanctuary,6.164929,-10.4288685,Liberia,1
