,Location,Latitude,Longitude,Country,ESTNUM
301,Sankhuwasabha,27.614192,87.14229,Nepal,14
302,Dandeli,15.249678,74.617374,India,2
303,Lhasa,29.652491,91.17211,China,218
304,Banjarmasin,-3.318607,114.594378,Indonesia,86
305,Palangka Raya,-1.749378,113.668075,Indonesia,90
306,Hanoi,21.003118,105.820141,Vietnam,263
307,Fangchenggang,21.617752,108.34536,China,39
308,Wenzhou,27.993828,120.699361,China,32
309,Thanh Hoa,20.129128,105.313118,Vietnam,5
310,Tengchong,25.020439,98.490966,China,3
311,Pasaman,0.220939,100.170326,Indonesia,15
312,Zhuhai,22.270978,113.576677,China,1
313,Kepahiang,-3.613009,102.667557,Indonesia,1
314,Wenzhou,27.993828,120.699361,China,31
315,Mai Son,21.12191,104.053676,Vietnam,52
316,Bengkalis,1.413919,101.615777,Indonesia,8
317,Wenshan,23.400733,104.216248,China,2
318,Sampit Airport,-2.502689,112.976711,Indonesia,73
319,Lianghe,24.804232,98.296657,China,6
320,Dispur,26.143346,91.789795,India,18
321,Udon Thani,17.413841,102.787233,Thailand,37
322,Benazir Bhutto International Airport,33.608782,73.103851,Pakistan,145
323,Baoshan,25.112046,99.161761,China,2
324,Thừa Thiên–Huế Province,16.467397,107.590533,Vietnam,1
325,Medan,3.600425,98.682064,Indonesia,5
326,Kakarvitta,26.646384,88.155974,Nepal,13
327,"Shenzhen, Guangdong Province",22.543096,114.057865,China,
328,Guangxi,23.72476,108.807619,China,24
329,Chipata,-13.64451,32.6447,Zambia,1
330,Shanghai,31.23039,121.473702,China,30
331,Yaoundé,3.848033,11.502075,Cameroon,120
332,Chaiyaphum,15.806817,102.031503,Thailand,
333,Fuzhou,26.074478,119.296482,China,
334,Zhuhai,22.270978,113.576677,China,956
335,Medan,3.600425,98.682064,Indonesia,15
336,Lomé,6.13365,1.22311,Togo,200
337,Lai Chau,22.368661,103.311909,Vietnam,4
338,"Yongren, Yunnan Province",26.049464,101.666132,China,10
339,Muara Beliti,-3.233706,103.012652,Indonesia,1
340,Pathum Thani,14.020839,100.525028,Thailand,130
341,Mong Cai,21.525944,107.972367,Vietnam,21
342,"Dali, Yunnan Province",25.606486,100.267638,China,4
343,Riau,0.293347,101.706829,Indonesia,46
344,Wenshan,23.400733,104.216248,China,2
345,"Jiangxi Province, China",27.087456,114.904221,China,1
346,Chongzuo,22.377253,107.365094,China,7
347,Hong Kong,22.319201,114.169612,China - Hong Kong,1000
348,Taipei,25.032969,121.565418,China - Taiwan,1
349,Taizhou,32.455536,119.922933,China,2
350,Lampung,-4.558585,105.406808,Indonesia,22
351,Hong Kong,22.319201,114.169612,China - Hong Kong,2340
352,Kathmandu,27.717245,85.323959,Nepal,1
353,Ha Long,20.971198,107.044807,Vietnam,44
354,Ha Long,20.971198,107.044807,Vietnam,66
355,Lhasa,29.652491,91.17211,China,25
356,Harare,-17.825167,31.03351,Zimbabwe,1
357,Roissy Airport,49.009691,2.547925,France,250
358,Changlun,6.43183 ,100.429997,Malaysia,92
359,"Phetsakem road, Province of Chumphon",10.503589,98.987708,Thailand,34
360,Chandel,24.182749,94.151376,India,0.4
361,"Guiétsou, province Ngounié",-1.49303,10.9807,Gabon,1
362,Ho Chi Minh City,10.823099,106.629662,Vietnam,2
363,Hai Phong,20.844911,106.688084,Vietnam,1471
364,Bim Son,20.084895,105.85752,Vietnam,20
365,Libreville,0.416198,9.467268,Gabon,
366,Mong Cai,21.525944,107.972367,Vietnam,49
367,Ha Long,20.971198,107.044807,Vietnam,16
368,Zizhong,29.764059,104.851944,China,
369,Fusul Xian,34.341574,108.93977,China,1
370,Bac Ha,18.344146,105.89731,Vietnam,4
371,Than Hoa,20.129128,105.313118,Vietnam,175
372,Harare,-17.825167,31.03351,Zimbabwe,1
373,Yunnan,24.475285,101.343106,China,4
374,"Balaghat, Madhya Pradesh",21.812876,80.183829,India,2
375,Madhya Pradesh,22.973423,78.656894,India,47
376,"Changsha, Hunan Province",28.228209,112.938814,China,232
377,"Meitan Xian, Guizhou Province",27.749055,107.465407,China,
378,Dudhpati,27.672103,85.418211,Nepal,1
379,Lang Suan,9.948601,99.081991,Thailand,320
380,Guangzhou,23.12911,113.264385,China,457
381,"Kuala Kurau, Perak State",5.016441,100.431796,Malaysia,250
382,Beijing,39.904202,116.407394,China,165
383,Kathmandu,27.717245,85.323959,Nepal,2
384,Maharashtra,19.75148,75.713888,India,43
385,Hunan,27.6253,111.856859,China,37
386,Yaoundé,3.848033,11.502075,Cameroon,150
387,Mutare,-18.975771,32.650351,Zimbabwe,1
388,"Haikou, Hainan Province",20.044412,110.198286,China,3
389,"Kepahiang, Province of Bengkulu",-3.613009,102.667557,Indonesia,1
390,Khudengthabi,24.303754,94.254486,India,2
391,"Beaufort, Sabah",5.345118,115.745112,Malaysia,12
392,"Bakauheni, Province of Lampung",-5.832932,105.699912,Indonesia,140
393,"Qinzhou, Guangxi Province",21.979933,108.654146,China,26
394,"Nanping, Fujian",26.641774,118.17771,China,3
395,Doiwala,30.173436,78.125085,India,10
397,Imphal,24.817011,93.936844,India,11
398,Alor Setar,6.12107,100.369797,Malaysia,43
399,Ha Giang,22.766206,104.938885,Vietnam,4
400,Kota Kinabalu,5.980408,116.073457,Malaysia,12
401,Fuding,27.324479,120.216978,China,1
402,"Hassan, State of Karnataka",13.006814,76.099552,India,2
403,Hanoi,21.003118,105.820141,Vietnam,3
404,Mong Cai,21.525944,107.972367,Vietnam,26
405,"Kuching, Sarawak",1.553504,110.359293,Malaysia,100
