,Location,Latitude,Longitude,Country,ESTNUM
159,Kampala,0.347596,32.58252,Uganda,4
160,Ho Chi Minh City,10.823099,106.629662,Vietnam,
161,Rimoi Game Reserve,0.663387,35.527476,Kenya,1
162,Puerto Princesa Airport,9.745656,118.750432,Philippines,95
163,Bac Son,10.94364,106.95067,Vietnam,10
164,Puerto Princesa Airport,9.745656,118.750432,Philippines,5
165,Surat Thani,9.138239,99.321748,Thailand,180
166,Puerto Princesa,9.967216,118.78551,Philippines,7
167,Vairengte,24.491023,92.758419,India,90
168,Sadao,6.636483,100.423837,Thailand,45
169,Rajaji,29.991732,78.289642,India,30
170,Trang,7.559385,99.611007,Thailand,11
171,Hai Duong,20.938596,106.320686,Vietnam,154
172,Fujian,26.483684,117.9249,China,45
173,Kuala Lumpur Airport,2.745596,101.70716,Malaysia,50
174,Fangchenggang,21.617752,108.34536,China,59
175,Yunnan,24.475285,101.343106,China,2
176,Mong Cai,21.525944,107.972367,Vietnam,240
177,Daluo,21.699818,100.052995,China,1
178,Thanh Hoa,20.129128,105.313118,Vietnam,8
179,Khudengthabi,24.303754,94.254486,India,5
180,Perak,4.592113,101.090109,Malaysia,18
181,Brussels,50.85034,4.35171,Belgium,
182,Ho Chi Minh City airport,10.818463,106.658825,Vietnam,2
183,Brussels,50.85034,4.35171,Belgium,8
184,Thanh Hoa,20.129128,105.313118,Vietnam,4
185,Nghe An,19.234249,104.920036,Vietnam,71
186,Kuala Lumpur Airport,2.745596,101.70716,Malaysia,94
187,Tengchong,25.020439,98.490966,China,42
188,Shenzhen,22.543096,114.057865,China,25
189,Phetchaburi,12.964922,99.642588,Thailand,158
190,Harare,-17.825167,31.03351,Zimbabwe,1
191,Shanghai,31.23039,121.473702,China,5
192,Various,1.30592,103.822316,Various,1220
193,Hanoi,21.003118,105.820141,Vietnam,41
194,Bachok,6.047656,102.394478,Malaysia,155
195,Jeli,5.700699,101.843151,Malaysia,16
196,Pranburi,12.395836,99.857142,Thailand,110
197,Beijing Airport,40.079857,116.603112,China,42
198,Arniko,27.71202,85.31295,Nepal,50
199,Nanning,22.817002,108.366543,China,343
200,Hong Kong,22.319201,114.169612,China - Hong Kong,208
201,Brussels,50.85034,4.35171,Belgium,
202,Yunnan,24.475285,101.343106,China,3
203,Makwanpur,27.554636,85.023346,Nepal,1
204,Manipur,24.663717,93.906269,India,20
205,Kampala,0.347596,32.58252,Uganda,115
206,Beijing,39.904202,116.407394,China,120
207,Nong Khai,17.87828,102.741264,Thailand,12
208,Brussels,50.85034,4.35171,Belgium,
209,Medan,3.600425,98.682064,Indonesia,85
210,Brussels,50.85034,4.35171,Belgium,
211,Thoubal,24.543551,93.967437,India,5
212,"Dongmen, Shenzhen",22.546593,114.119453,China,122
213,Ha Tinh,18.294378,105.674525,Vietnam,118
214,Mizoram,23.164543,92.937574,India,386
215,Jhapa district,26.63982,87.894245,Nepal,14
216,Alor Setar,6.12107,100.369797,Malaysia,18
217,Imphal,24.817011,93.936844,India,14
218,Adelaide,-34.928497,138.600739,Australia,
219,Sindhupalchowk,27.951203,85.684578,Nepal,38
220,Bukit Kayu Hitam,6.509743,100.420391,Malaysia,23
221,Roissy,49.009691,2.547925,France,
222,Kathmandu,27.717245,85.323959,Nepal,1
223,Ho Chi Minh City,10.823099,106.629662,Vietnam,
224,Colombo,6.927079,79.861243,Sri Lanka,2
225,Nong Khai,17.87828,102.741264,Thailand,52
226,Jinshan,30.741991,121.341969,China,5
227,"Shiphol Airport, Amsterdam",52.310539,4.768274,Netherlands,
228,Chitwan,27.529131,84.354205,Nepal,1
229,Soekarno-Hatta International Airport,-6.127528,106.653706,Indonesia,72
230,Brussels,50.85034,4.35171,Belgium,3
231,Huilai,23.033266,116.29515,China,2357
232,Nong Khai,17.87828,102.741264,Thailand,42
233,Cau Treo,18.390937,105.159654,Vietnam,100
