,Location,Latitude,Longitude,Country,ESTNUM
1018,Petauke,-14.250143,31.333053,Zambia,1
1019,Kota Belud,6.353248,116.427877,Malaysia,1
1020,Berhampur,19.314962,84.794091,India,
1021,Vastare,13.270194,75.709527,India,1
1022,Thane,19.218331,72.97809,India,1
1023,Dongxing,21.547821,107.971826,China,1
1024,Douala,4.051056,9.767869,Cameroon,
1025,Amravati,20.937424,77.779551,India,
1026,Malkangiri,18.16408,81.953481,India,1
1027,Huong Son,18.511801,105.266293,Vietnam,215
1028,Hong Kong,22.309671,114.186404,China - Hong Kong,8300
1029,Shenzhen,22.501413,113.945498,China,10
1030,Rattanawapi,18.213901,103.177456,Thailand,15
1031,Elegu,3.56337,32.071751,Uganda,423
1032,Haiphong,20.847631,106.687632,Vietnam,1500
1033,Jintan,31.723464,119.5826,China,
1034,Various,,,Various,1649
1035,Tamparuli,6.135609,116.267007,Malaysia,6000
1036,Sabah,5.595237,117.005173,Malaysia,23
1037,Chipata,-13.6369,32.6492,Zambia,1
1038,Chipata,-13.6369,32.6492,Zambia,
1039,"Engen, Benoni",-26.193036,28.308238,South Africa,1
1040,"Mannady, Chennai",13.095944,80.287101,India,111
1041,Madrid,40.416705,-3.7035825,Spain,1
1042,"Beharbari, Guwahati",26.108414,91.777296,India,1
1043,Impfondo,1.618742,18.06235,Republic of the Congo (Congo-Brazzaville),
1044,Sadao,6.63401,100.421,Thailand,47
1045,Sam Roi Yot,12.2084,99.8593,Thailand,76
1046,"Kisenyi, Kampala",1.366667,32.7,Uganda,48
1047,Kathmandu,27.7350475,85.3145965,Nepal,2
1048,Sikkim,27.601029,88.454136,India,10
1049,Douala,4.053739,9.664437,Cameroon,2500
1050,"Boko, Kamrup",25.9753,91.2276,India,1
1051,"Guangdong, Guangxi",23.135769,113.198269,China,176.55
1052,Phalaborwa,-23.948502,31.137577,South Africa,1
1053,Khalapur,18.85018,73.27735,India,1
1054,Shandong,36.0000001,118.9999999,China,25
1055,Singapore,1.355379,103.839758,Singapore,36000
1056,Hưng Yên,20.6490983,106.0509951,Vietnam,39
1057,Singapore,1.355379,103.839758,Singapore,21000
1058,Meiganga,6.5172003,14.2946927,Cameroon,12
1059,Maharashtra,19.2341381,72.9455652,India,2
1061,"Kalakhora, Karnataka, India",17.639,76.9599,India,1
1062,Manchanahalli,12.6123867,76.5669393,India,2.5
1063,"Raipur, Moudhapara",20.91667,82,India,2
1064,Matobo,-20.970129,28.462916,Zimbabwe,
1065,Hai Phong,20.79804,106.904536,Vietnam,8300
1067,Upington,-28.456325,21.241867,South Africa,4
1068,Cai Mep,10.53695,107.032258,Vietnam,5260
1069,Sarikei,2.129485,111.523059,Malaysia,1
1070,Terengganu,5.365903,103.103884,Malaysia,
1071,Binga,-17.6218,27.3426,Zimbabwe,3
1072,Pune,18.5203,73.8543,India,1
1073,Sachona,-17.96667,23.45,Namibia,2
1074,Douala,4.0537386,9.6644366,Cameroon,100
1075,Hai Phong,20.80549,106.73784,Vietnam,3977
1076,Thane,19.194329,72.970178,India,5.5
1077,Okahandja,-21.979231,16.9128172,Namibia,1
1078,Singapore,1.2904753,103.8520359,Singapore,11900
1079,Huong Son,21.4611301,105.9786119,Vietnam,30
1080,Guwahati,26.1806,91.7539,India,1
1081,Tagaytay,14.115,120.964,Philippines,10
1083,Katni District,23.833962,80.39245,India,1
1084,Kyegwegwa District,0.481266,31.0553,Uganda,5.38
1085,Qingdoa Customs,36.0895,120.35,China,1
1086,Malawi,-13.26872,33.930196,Malawi,
1087,Omaruru,-21.4174,15.9514,Namibia,1
1088,Canada,61.0666922,-107.9917071,Canada,2
1089,Itezhi Tezhi,-15.7439,26.0181999,Zambia,1
1090,Muizenberg,-34.0935,18.4798,South Africa,
1091,Nigeria,9.6000359,7.9999721,Nigeria,671
1092,Istanbul Airport,40.9793,28.8156,Turkey,1210
1093,Gomwe,-17.28621,32.10555,Zimbabwe,1
1094,Kurai,21.8098,79.50369,India,4
1095,Mahalakshmi Layout,13.0118943,77.5438575,India,
1096,Bamenda,5.9614117,10.1516505,Cameroon,383
1097,Changsha Airport,28.1967,113.2208,China,0.29
1098,Prakasam,15.5,79.5,India,1
1099,Hong Kong International Airport,22.308047,113.918481,China - Hong Kong,100
1100,Angola,-11.8775768,17.5691241,Angola,
1101,Pienaarsriver,-25.2069,28.294399,South Africa,1
1102,Omaruru,-21.417372,15.9514037,Namibia,1
1103,Bhaktapur Municipality,27.672332,85.428702,Nepal,0.38
