,Location,Latitude,Longitude,Country,ESTNUM
406,Guangzhou Baiyun Airport,23.395908,113.30797,China,220
407,"Yongjia, Wenzhou",28.153607,120.692025,China,137
408,"Zhangjiagang, Jiangsu Province",31.875572,120.556005,China,84
409,Harare,-17.825167,31.03351,Zimbabwe,1
410,Harare,-17.825167,31.03351,Zimbabwe,1
411,Beijing,39.904202,116.407394,China,
413,Dehradun,30.316495,78.032192,India,8
414,Guangdong Province,23.379033,113.763283,China,2
415,Soekarno-Hatta Airport,-6.127528,106.653706,Indonesia,405
416,Guangxi,23.72476,108.807619,China,24
417,Guangzhou,23.12911,113.264385,China,2000
418,Harare,-17.825167,31.03351,Zimbabwe,1
419,Chiang Mai,18.787747,98.993128,Thailand,151
420,Kampala,0.347596,32.58252,Uganda,7310
421,Harare,-17.825167,31.03351,Zimbabwe,2
422,Entebbe Airport,0.043591,32.441794,Uganda,2029
423,"Cibinong, West Java Province / Jakarta",-6.490107,106.830695,Indonesia,10
424,Bac Ninh,21.178177,106.071026,Vietnam,42
425,"Kunming, Yunnan",24.880095,102.832891,China,7
426,"Yengo, Shanga Department",0.380626,15.425845,Congo,
427,"Guoxingxiang Area, Nantou County",23.960998,120.971864,China - Taiwan,2
429,Bangkok,13.756331,100.501762,Thailand,150
430,Peducha,25.719751,93.986496,India,10
431,Attarpur,27.682599,85.894669,Nepal,4
432,"Allangouasou, N’zi-Comoé Region",6.82147,-5.27985,Côte d’Ivoire,2
433,Chaozhou,23.656703,116.622756,China,5
434,"Wenzhou, Zhejiang Province",27.993828,120.699361,China,1
435,"Franz-Josef Strauss International Airport, Munich",48.35598,11.79002,Germany,1
436,"Pathiu District, Chumphon Province",10.794463,99.322921,Thailand,70
437,"Xiangtan, Hunan Province",27.829795,112.944026,China,1
438,"Zhangping, Fujian Province",25.290184,117.419998,China,1
439,Hong Kong,22.36685,114.130259,China - Hong Kong,2000
440,Hunan,27.6253,111.856859,China,2
441,Pudong International Airport,31.150958,121.805605,China,274
442,Shanghai-Pudong International Airport,31.144344,121.808273,China,274
443,"Halong, Quang Ninh Province",20.971198,107.044807,Vietnam,56
444,Gokwe,-18.216727,28.947042,Zimbabwe,3
445,Various,1.30592,103.822316,Various,
446,Hanoi,21.003118,105.820141,Vietnam,36
447,Ha Tinh,18.294378,105.674525,Vietnam,
448,Harare,-17.825167,31.03351,Zimbabwe,2
449,Beijing,39.904202,116.407394,China,1
450,Jiangbei District,29.606703,106.574271,China,1
451,Thai Binh,20.538694,106.393478,Vietnam,85
452,Mong Cai,21.525944,107.972367,Vietnam,50
453,Kuala Kurau,5.016441,100.431796,Malaysia,34
454,Hanoi,21.003118,105.820141,Vietnam,13
455,Guangxi Zhuang Autonomous Region,23.72476,108.807619,China,
456,Medan,3.600425,98.682064,Indonesia,196
457,Harare,-17.825167,31.03351,Zimbabwe,1
458,Hong Kong,22.319201,114.169612,China - Hong Kong,129
459,Lac Thuy,20.513672,105.733346,Vietnam,43
460,Kwekwe,-18.920133,29.823655,Zimbabwe,1
461,Ha Tinh,18.294378,105.674525,Vietnam,36
462,Karoi,-16.81551,29.690475,Zimbabwe,1
463,Khawasa,21.703465,79.442259,India,1
465,"Banyuasin, South Sumatra",-2.609564,104.752094,Indonesia,8
466,Guwahati,26.144517,91.736237,India,8
467,Kohima,25.658596,94.105331,India,8
468,Kampala,0.347596,32.58252,Uganda,50
469,Kampala,0.347596,32.58252,Uganda,6
470,"Yongkang City, Zhejiang",28.888555,120.047651,China,1
471,Kampala,0.347596,32.58252,Uganda,50
472,"Zhuji, Zhejiang",29.708692,120.246863,China,89
473,Harare,-17.825167,31.03351,Zimbabwe,1
474,Uong Bi,21.033908,106.764821,Vietnam,15
475,Limpopo,-23.401295,29.417932,South Africa,1
476,Harare,-17.825167,31.03351,Zimbabwe,4
478,Odisha / Mizoram,20.951666,85.098524,India,1
479,Odisha,20.951666,85.098524,India,10
480,Surabaya,-7.265103,112.745,Indonesia,455
481,Simpang Pulai,4.528985,101.12923,Malaysia,3
482,Brahmapur,19.314962,84.794091,India,1
483,Taoyuan,24.993628,121.30098,China - Taiwan,5
484,Zhejiang,29.141643,119.788925,China,9
485,Zhuji,29.708692,120.246863,China,9
486,Harare,-17.825167,31.03351,Zimbabwe,5
487,Yaoundé,3.848033,11.502075,Cameroon,
488,Maharashtra,19.75148,75.713888,India,9
489,"Checheche, Chipinge",-20.763666,32.216832,Zimbabwe,1
490,Madhya Pradesh,22.973423,78.656894,India,1
491,Nghe An,19.234249,104.920036,Vietnam,10
492,"Maudrai, Tamil",9.925201,78.119775,India,
493,Hai Duong,20.938596,106.320686,Vietnam,85
494,"Mahalaxmi Municipality, Lalitpur",27.642717,85.370461,Nepal,4
495,Nga Son,19.998188,105.993491,Vietnam,56
496,Tan Son Nhat International Airport,10.818463,106.658825,Vietnam,42
497,Harare,-17.825167,31.03351,Zimbabwe,1
498,Chipinge,-20.191426,32.633397,Zimbabwe,1
499,Danang's Tien Sa port,16.12194,108.219313,Vietnam,4000
500,"Hosur, Tamil Nadu",12.740913,77.825292,India,1
501,Prachuap Khiri Khan,11.812367,99.797327,Thailand,60
502,Tamil Sangam road,19.037267,72.861794,India,
503,Harare,-17.825167,31.03351,Zimbabwe,1
504,"Kampung Padang Buloh,  Pekan",3.492095,103.389545,Malaysia,97
505,Manzhouli,49.597841,117.378529,China,
506,Hekou,22.529403,103.93935,China,1
507,Katete,-14.058413,32.043969,Zambia,1
508,Panzhihua,26.582347,101.718637,China,2
509,Fangchenggang,21.617752,108.34536,China,32
510,Cat Tien,20.719181,107.051404,Vietnam,2
511,Fumin County,25.221935,102.4976,China,5
512,Kathmandu,27.717245,85.323959,Nepal,4
513,Bao'an District,22.555259,113.884019,China,
514,Jiaoling,24.6587,116.171355,China,1
515,Kathmandu,27.717245,85.323959,Nepal,0.5
516,"Wang Kelian, State of Perlis",6.679556,100.187527,Malaysia,63
517,Perlis,6.444913,100.204769,Malaysia,63
518,Harare,-17.825167,31.03351,Zimbabwe,1
519,Wenzhou,27.993828,120.699361,China,30
520,"Sreekaryam, District of Thiruvananthapuram",8.547143,76.913887,India,1
521,Cam Lo District,16.783695,106.983087,Vietnam,4
522,"Victoria Falls Airport, North Matabeleland",-18.096323,25.851418,Zimbabwe,1
523,Kuala Kangsar,4.773595,100.942045,Malaysia,4
524,Gokwe,-18.216727,28.947042,Zimbabwe,1
525,"Coimbatore and Sathyamangalam forests, Erode District",11.016845,76.955832,India,
526,Jiangmen,22.579117,113.081508,China,2674
527,Taipei,25.032969,121.565418,China - Taiwan,2
528,Penang,5.416394,100.332679,Malaysia,46
529,Vientiane,17.975706,102.633104,Laos,81
530,Belawan,3.784303,98.694221,Indonesia,91
531,Yaoundé International Airport,3.714916,11.547693,Cameroon,100
532,Nghe An Province,19.234249,104.920036,Vietnam,7
533,Thanh Hoa,20.129128,105.313118,Vietnam,63
534,"Guangzhou, Guangdong Province",23.12911,113.264385,China,2000
535,Hoanh Mo,21.64091,107.467686,Vietnam,2116
536,Dongzhongzhen,21.61491,107.534027,China,970
537,"Palembang, South Sumatra",-2.976073,104.775431,Indonesia,89
538,Deng Deng National Park,5.189196,13.52634,Cameroon,14
539,Haikou,20.044412,110.198286,China,1
540,Guangxi / Haikou,23.72476,108.807619,China,1
541,"Gwalior, State of Madhya Pradesh",26.218287,78.182831,India,28
542,Guangxi,23.72476,108.807619,China,2
543,Binh Duong Province,11.325402,106.477017,Vietnam,12
544,"Mahamanjushree Nagarkot Municipality, Bhaktapur",27.699299,85.489114,Nepal,1
545,Mong Cai,21.525944,107.972367,Vietnam,19
546,Fangchenggang,21.617752,108.34536,China,26
547,Koh Samui airport,9.548437,100.063028,Thailand,587
548,"Dongxing, Autonomous Region of Guangxi",21.547821,107.971826,China,50
549,Kathmandu,27.717245,85.323959,Nepal,3
550,Kathmandu,27.717245,85.323959,Nepal,3
551,"Fuyuan, Yunnan",25.674238,104.255014,China,9
552,"Kunming, Province of Yunnan",24.880095,102.832891,China,9
553,Yaoundé,3.848033,11.502075,Cameroon,
554,Guangxi,23.72476,108.807619,China,50
555,Hong Kong,22.319201,114.169612,China - Hong Kong,
556,Singapore,1.355379,103.867744,Singapore,646
557,Gokwe,-18.216727,28.947042,Zimbabwe,1
558,"Pontianak, Province of West Kalimantan",-0.062165,109.354545,Indonesia,13
559,Quang Ninh,21.006382,107.292514,Vietnam,18
701,Haiphong,20.837355,106.773205,Vietnam,
1060,Zhejiang Province,29.141643,119.788925,China,370
