,Location,Latitude,Longitude,Country,ESTNUM
42,Beijing,39.904202,116.407394,China,40
43,Bangkok,13.756331,100.501762,Thailand,66
44,Bongyang,24.411034,94.059006,India,340
45,Bangkok,13.756331,100.501762,Thailand,200
46,Poipet,13.657905,102.580903,Cambodia,5
47,Nong Khai,17.87828,102.741264,Thailand,45
48,East Kalimantan,0.538659,116.419389,Indonesia,208
49,Kanchanaburi Province,14.02278,99.532811,Thailand,13
50,Riau,0.293347,101.706829,Indonesia,50
51,Nong Khai Province,17.87828,102.741264,Thailand,80
52,Soekarno-Hatta,-6.127528,106.653706,Indonesia,153
53,Guangxi,23.72476,108.807619,China,1
54,Manipur,24.663717,93.906269,India,
55,Kelantan,6.125397,102.238071,Malaysia,6
56,Muang,8.047284,98.777033,Thailand,10
57,Bongyang,24.411034,94.059006,India,1
58,Hai Phong,20.844911,106.688084,Vietnam,2000
59,Alor Setar,6.12107,100.369797,Malaysia,101
61,Kelantan,6.125397,102.238071,Malaysia,93
62,Tengnoupal,24.383792,94.148177,India,482
63,Johor,1.485368,103.761815,Malaysia,40
64,Chandel,24.182749,94.151376,India,
65,Ha Tinh Province,18.294378,105.674525,Vietnam,54
66,Kota Lubuklinggau, -3.299586,102.857236,Indonesia,15
67,Muar,2.063052,102.584872,Malaysia,62
68,Pahang Province,3.812632,103.32562,Malaysia,130
