,Location,Latitude,Longitude,Country,ESTNUM
464,Lambaréné,-0.70398,10.22109,Gabon,
858,N/A Country level,6.827623,-5.289343,Côte d’Ivoire,578
859,Futian Port,22.515747,114.069799,China,
860,Bandar Pinggiran Subang ,3.162732,101.550254,Malaysia,57
861,Hong Kong,22.319201,114.169612,China - Hong Kong,
862,Quang Ninh Province,21.006382,107.292514,Vietnam,11
863,Kwai Chung,22.36685,114.130259,China - Hong Kong,1800
864,Ha Long city,20.971198,107.044807,Vietnam,30
865,Gumbu,-22.365159,30.791022,South Africa,1
866,Pietermaritzburg,-29.600607,30.379412,South Africa,1
867,Tan Thanh ,10.564073,107.059523,Vietnam,100
868,Dat Mui,8.612569,104.775431,Vietnam,415
869,"Balaghat, Madhya Pradesh",21.812876,80.183829,India,2
870,Ho Chi Minh City,10.823099,106.629664,Vietnam,2
871,Mong Cai,21.525944,107.972367,Vietnam,316
872,Kaohsiung Pier 66,22.619953,120.281657,China - Taiwan,4000
873,Ambam,2.381542,11.26655,Cameroon,80
874,"Balaghat, Madhya Pradesh",21.812876,80.183829,India,5
875,Walukarama Mawatha,6.905153,79.853762,Sri Lanka,1
876,Lanji,21.510916,80.549401,India,1
877,Salugara,26.766218,88.446445,India,6
878,Ikeja,6.602337,3.356609,Nigeria,2001
879,Muang district,13.864922,99.589604,Thailand,30
880,Wagle Estate,19.186752,72.954549,India,1
881,Kampala,0.350996,32.557733,Uganda,50
882,Zhongshan,22.517585,113.39277,China,1
883,Kunming Changshui International Airport,25.092798,102.928477,China,1
884,Ikeja,6.588222,3.361983,Nigeria,8492
885,Tsing Yi Customs Cargo Examination Compound,22.347487,114.102316,China - Hong Kong,2800
886,Sibiti,-3.564846,13.266348,Republic of the Congo (Congo-Brazzaville),
887,Cikembang,-6.849734,106.873891,Indonesia,3
888,Yaoundé,3.848033,11.502075,Cameroon,40
889,Huanggang Port,22.520087,114.075065,China,2
890,Cotonou Airport,6.356111,2.383333,Benin,513
891,Matetsi,-18.2391474,26.0425094,Zimbabwe,1
892,Bintulu,3.214699,112.942023,Malaysia,31
893,Huanggang Port,22.520087,114.075065,China,13
894,Nanning,22.817002,108.366543,China,14
895,Honghe,23.36225,103.374576,China,4
896,Tribhuvan International Airport,27.69809,85.359223,Nepal,162
897,Harare Gardens,-17.823438,31.047127,Zimbabwe,2
898,Bintulu,3.171322,113.041907,Malaysia,142
899,Douala International Airport,4.013439,9.717007,Cameroon,1000
900,Makhado,-23.046241,29.904656,South Africa,1
901,Yueqing,28.113725,120.983906,China,2
902,Thoubal district,24.543551,93.967437,India,2
903,Varanasi,25.324669,82.98949,India,1
904,Palawan,9.834949,118.738362,Philippines,1
905,Lao Bao,16.627304,106.59966,Vietnam,15
906,Cat Lai Port,10.757996,106.788932,Vietnam,3800
907,N/A Country level,21.003118,105.820141,Vietnam,4000
908,Saigon Port,10.6462922,106.7578068,Vietnam,3300
909,Santchou,5.284582,9.971658,Cameroon,
910,Makalu,27.886022,87.091189,Nepal,2
911,Tsing Yi Customs Cargo Examination Compound,22.347487,114.102316,China - Hong Kong,630
912,Huangtian,27.6253,111.856859,China,19
913,Murtala Muhammed Airport,6.581819,3.321135,Nigeria,
914,Kunming,25.043798,102.714338,China,
915,Nanga Pinoh,-0.40284,111.825493,Indonesia,9
916,Doume,4.239999,13.448287,Cameroon,35
917,Yaoundé,3.848032,11.502075,Cameroon,2
918,Hwange,-18.344118,26.503594,Zimbabwe,
919,Mangalbare,26.950979,87.830414,Nepal,4
920,Makoua ,-0.004491,15.61193,Republic of the Congo (Congo-Brazzaville),0.5
921,Kudremukh National Park,13.222606,75.250823,India,1
922,Hoedspruit,-24.35601,30.947981,South Africa,1
923,Wiang Kaen,19.996401,100.462137,Thailand,40
924,Hoang Minh ,19.8543756,105.8109664,Vietnam,74
925,Bhubaneswar,20.296059,85.82454,India,5
926,Congo Brazzaville,-0.228021,15.827659,Republic of the Congo (Congo-Brazzaville),1798
927,Hà Tĩnh Province,18.294378,105.674525,Vietnam,7
928,Birur,13.596803,75.972449,India,11
929,Bukit Kayu Hitam,6.509743,100.420391,Malaysia,65
930,Nanning,22.821165,108.315976,China,81
931,Johannesburg,-26.204103,28.047304,South Africa,1
932,Yunnan,24.475285,101.343106,China,
933,Lancang,22.643437,100.070608,China,
934,Maligaon Chariali,26.159212,91.697844,India,1
935,Mễ Sở,20.8948,105.92516,Vietnam,116
936,Zhaoqing Customs ,23.054203,112.446749,China,7260
937,Daluo border crossing,21.699818,100.052995,China,1
938,Noi Bai International Airport,21.218715,105.804171,Vietnam,334
939,Tsing Yi customs cargo examination compound ,22.347487,114.102316,China - Hong Kong,7100
940,Puerto Princesa,9.967216,118.78551,Philippines,21
941,Tejosho market,6.506208,3.367513,Nigeria,1031
942,Etosha National Park,-18.855591,16.329321,Namibia,46
943,Hội An,15.880058,108.338043,Vietnam,4
944,Rustenburg,-25.654607,27.245446,South Africa,1
945,Shanghai,31.230391,121.473701,China,13
946,Zongo,-3.011658,28.299435,Democratic Republic of Congo,230
947,Vientiane,17.964099,102.613371,Laos,6
948,Koh Kong Province,11.332275,103.013792,Cambodia,1
949,"Bonanpriso, Douala",4.02478,9.700279,Cameroon,718
950,Lagos,6.524379,3.379206,Nigeria,738
951,Cardamon Chain,11.55092,104.91655,Cambodia,1
952,Deuli,22.86285,87.314348,India,5
953,Yaoundé,3.848033,11.502075,Cameroon,270
954,Penang Province,13.71623,100.55645,Thailand,172
955,Kwa Zulu,-26.64939,30.68137,South Africa,1
956,Bhimeshwor ,27.669323,86.042763,Nepal,1
957,São Paulo ,-8.832439,13.260396,Angola,895
958,Bulawayo,-20.132507,28.626478,Zimbabwe,1
959,Jintan,31.723464,119.5826,China,47
960,Macau,22.198746,113.543877,China,100
961,"Kedah, Malaysia",6.118396,100.368459,Malaysia,81
962,Pretoria,-25.747868,28.229271,South Africa,1
963,Nanning,22.82193,108.3181,China,4
964,Mong Cai,21.52514,107.96566,Vietnam,149
965,Kabbinamane,13.1852,75.8249,India,2
966,Đức Trọng,11.73665,108.37356,Vietnam,2
967,Fangchenggang,21.617752,108.34536,China,16
968,Noi Bai International Airport,21.218715,105.804171,Vietnam,803
969,"Halagoor, Mandya ",12.422764,77.226145,India,1
970,Dolakha,27.778429,86.175176,Nepal,3
971,Maharashtra,19.75148,75.713888,India,6
972,Danang,16.054407,108.202167,Vietnam,6000
973,Divundu,-13.10398,24.69153,Namibia,
974,Nanjangud-Chamarajanagar Road,12.12283,76.688546,India,1
975,Bhimeshwor Municipality,27.669323,86.042763,Nepal,3
976,"Hunan, Guangdong, Fujian, Jiangxi and Hainan provinces and Guangxi Zhuang Autonomous Region",27.6253,111.856859,China,282
977,Maharashtra,19.75148,75.713888,India,1
978,Nghe An,19.3738868,104.9233469,Vietnam,
979,Livingstone,-17.851979,25.828515,Zambia,1
980,"Phú Lộc, Thua Thien Hue",16.272543,107.939476,Vietnam,1
981,Plateau-Dokui,5.3968,-3.997529,Côte d’Ivoire,150
982,"Oakmoor Railway Station, Glen Marais",-26.005823,28.248564,South Africa,1
983,Kunming,24.880095,102.832891,China,0.3
984,Kollegal,12.153679,77.111121,India,1
985,Pienaar,-25.4216,31.1791,South Africa,1
986,"Khadda Market, Lyari, Karachi",24.856526,66.993014,Pakistan,200
987,Tzaneen,-23.831985,30.135835,South Africa,1
988,Prayagraj,25.435801,81.846311,India,1
989,Haiphong,20.837355,106.773205,Vietnam,500
990,Dete,-18.6166,26.8612,Zimbabwe,
991,Abong-Mbang,3.98643,13.17893,Cameroon,45
992,Aheri,19.74022,79.29452,India,1
993,Hong Kong,22.309671,114.186404,China - Hong Kong,48
994,Dhanora,16.8288,75.71778,India,
995,West Midnapore,22.408038,87.381073,India,1
996,Hong Kong,22.319201,114.169612,China - Hong Kong,109
997,Boko,25.97608,91.23185,India,1
998,"Mururani, Mankupi Constituency",-18.786597,18.935366,Namibia,2
999,Nkurenkuru,-17.628223,18.61014,Namibia,2
1000,Mysuru,12.29581,76.639381,India,1
1001,Ndola,-12.996071,28.657654,Zambia,0.2
1002,Maidalpur,19.47176,82.59331,India,2
1003,Lomé,6.13365,1.22311,Togo,37
1004,Mayurbhanj,21.824221,86.424179,India,2
1005,Tadoba-Andhari Tiger Reserve,22.2129,88.7112,India,1
1006,Mothibistad,-27.39967,23.49005,South Africa,1
1007,Mushumbi,-16.174633,30.55616,Zimbabwe,
1008,Malkangiri,18.16408,81.953484,India,1
1009,Shrivardhan,18.13048,73.02939,India,2
1010,Gaborone,-24.655319,25.908728,Botswana,2
1011,Shirdhon,18.934201,73.137911,India,1
1012,Rayagada,19.171209,83.416323,India,1
1014,Bulawayo,-20.132507,28.626479,Zimbabwe,2
1015,Arunachal,28.217999,94.727753,India,2
1017,Lagos,6.524379,3.379206,Nigeria,7561
1066,Binga,-17.6218,27.3426,Zimbabwe,1
1082,Irene Mall,-25.7449,28.1878,South Africa,1
