,Location,Latitude,Longitude,Country,ESTNUM
234,Soekarno-Hatta,-6.127528,106.653706,Indonesia,189
235,Guangzhou,23.12911,113.264385,China,184
236,Various,1.30592,103.822316,Various,50
237,Prachuap Khiri Khan,11.812367,99.797327,Thailand,180
238,Hanoi,21.003118,105.820141,Vietnam,263
239,Zhengzhou,34.746611,113.625328,China,19
240,Ha Tinh,18.294378,105.674525,Vietnam,20
241,Sarlahi,26.962714,85.56121,Nepal,3
242,Bac Giang,21.301495,106.62913,Vietnam,5
243,Bhadrapur,26.536331,88.080305,Nepal,3
244,Mong Cai,21.525944,107.972367,Vietnam,880
245,Mekong,13.756331,100.501765,Thailand,104
246,Quang Ninh,21.006382,107.292514,Vietnam,40
247,Lhasa,29.652491,91.17211,China,139
248,Charles de Gaulle Airport,49.009691,2.547925,France,50
249,Palawan,9.834949,118.738362,Philippines,2000
250,Kanpur,26.449923,80.331874,India,11
251,Palawan,9.834949,118.738362,Philippines,23
252,Quang Tri,16.740307,107.185468,Vietnam,
253,Roissy Airport,49.009691,2.547925,France,51
254,Limbe,4.022466,9.195443,Cameroon,80
255,Tatopani,27.98,85.93,Nepal,9
256,"Bermani Ilir, Sumatra",-3.701718,102.702022,Indonesia,26
257,Hong Kong,22.319201,114.169612,China - Hong Kong,
258,Quang Ninh,21.006382,107.292514,Vietnam,23
259,"Chana district, Songkhla",6.844726,100.66471,Thailand,89
260,Jakarta,-6.180495,106.828341,Indonesia,189
261,"Fuklingkot VDC, Sindhupalchok district",27.951203,85.684578,Nepal,80
262,Nkoltang,0.371861,9.642487,Gabon,
263,"Mirijjawila, Hambantota",6.121344,81.079115,Sri Lanka,1
264,Hai Duong,20.938596,106.320686,Vietnam,39
265,Thanh Hoa,20.129128,105.313118,Vietnam,
266,Sunsera,29.899453,80.699263,Nepal,35
267,Kathmandu,27.717245,85.323959,Nepal,45
268,"Agboville, Agnéby-Tiassa Region",6.82147,-5.27985,Côte d’Ivoire,12
269,Kalakate,27.809352,82.763704,Nepal,40
270,Luu Kiem,20.967985,106.670396,Vietnam,81
271,Quang Ninh,21.006382,107.292514,Vietnam,57
272,Kuala Lumpur,3.156949,101.712303,Malaysia,150
273,"Orly Airport, Paris",48.726243,2.365247,France,
274,Hanoi,21.003118,105.820141,Vietnam,4
275,Hanoi,21.003118,105.820141,Vietnam,6
276,Hanoi,21.003118,105.820141,Vietnam,14
277,Bukit Kayu Hitam,6.509743,100.420391,Malaysia,26
278,"Guangzhou Baiyun Airport, Canton, Guangdong Province",23.395908,113.30797,China,40
279,"Beijing Capital International Airport, China",40.079857,116.603112,China,4
280,Quang Ninh,21.006382,107.292514,Vietnam,96
281,Quang Ninh,21.006382,107.292514,Vietnam,62
282,Quang Ninh,21.006382,107.292514,Vietnam,75
283,Guwahati,26.144517,91.736237,India,85
284,Bukit Kayu Hitam,6.509743,100.420391,Malaysia,49
285,"Gangkou District, Guangxi Zhuang Autonomous Region",21.643383,108.380143,China,26
286,"Sabak Awor, State of Johor",2.070657,102.562743,Malaysia,15
287,"Guangzhou, Guangdong Province",23.12911,113.264385,China,49
288,Siliguri,26.727101,88.395286,India,70
289,Hai Phong,20.844911,106.688084,Vietnam,4018
290,"Davangere, State of Karnataka",14.464409,75.921758,India,25
291,Quang Ninh,21.006382,107.292514,Vietnam,14
292,Fangchenggang,21.617752,108.34536,China,28
293,Hung Yen,20.852571,106.016997,Vietnam,104
294,Udon Thani,17.413841,102.787233,Thailand,200
295,Quang Ninh,21.006382,107.292514,Vietnam,44
296,Phu Yen,13.105706,109.295048,Vietnam,49
297,Ha Tinh,18.294378,105.674525,Vietnam,39
298,Cam Xuyen,18.172165,106.016997,Vietnam,25
299,Vinh,18.679585,105.681333,Vietnam,10
300,Quang Ninh,21.006382,107.292514,Vietnam,124
